item_code,description,cat,brand,unit
  PWR-1000,Καλώδιο ρεύματος 5x1.5mm 30 μ. 3kW IP67 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1001,Καλώδιο ρεύματος 3x2.5mm 500cm 3kW IP44 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1002,Καλώδιο ρεύματος 5x1.5mm 500cm 2200W IP67 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1003,Καλώδιο ρεύματος 3x1.5mm 500cm 3kW IP54 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1004,Καλώδιο ρεύματος 3x1.5mm 5 μ. 1000W IP54 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
pwr1005,Καλώδιο ρεύματος 3x4.0mm 3000cm 3000W IP44 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
pwr1006,Καλώδιο ρεύματος 5x6.0mm 2000cm 750W IP44 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1007,Καλώδιο ρεύματος 5x6.0mm 25 μ. 1500W IP67 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
PWR-1008,Καλώδιο ρεύματος 3x2.5mm 50m 1kW IP44 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1009,Καλώδιο ρεύματος 3x1.5mm 3000cm 3kW IP54 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1010,Καλώδιο ρεύματος 5x2.5mm 30 μ. 3kW IP54 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
  PWR-1011,Καλώδιο ρεύματος 5x6.0mm 50 μ. 750W IP44 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
  PWR-1012,Καλώδιο ρεύματος 5x2.5mm 500cm 750W IP67 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1013,Καλώδιο ρεύματος 3x4.0mm 15 μ. 3000W IP67 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
PWR-1014,Καλώδιο ρεύματος 3x6.0mm 30m 3000W IP54 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1015,Καλώδιο ρεύματος 3x6.0mm 1000cm 3000W IP44 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
pwr1016,Καλώδιο ρεύματος 5x6.0mm 20m 2200W IP44 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1017,Καλώδιο ρεύματος 5x2.5mm 3000cm 1500W IP67 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
  PWR-1018,Καλώδιο ρεύματος 3x1.5mm 1500cm 2200W IP67 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1019,Καλώδιο ρεύματος 3x4.0mm 1500cm 1kW IP44 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1020,Καλώδιο ρεύματος 3x4.0mm 20 μ. 750W IP67 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1021,Καλώδιο ρεύματος 5x2.5mm 30m 2200W IP54 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1022,Καλώδιο ρεύματος 3x6.0mm 10 μ. 2200W IP54 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1023,Καλώδιο ρεύματος 3x4.0mm 3000cm 1000W IP44 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
PWR-1024,Καλώδιο ρεύματος 3x1.5mm 25m 3000W IP54 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
PWR-1025,Καλώδιο ρεύματος 5x4.0mm 3000cm 2200W IP67 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1026,Καλώδιο ρεύματος 5x4.0mm 2000cm 750W IP54 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
PWR-1027,Καλώδιο ρεύματος 3x1.5mm 30 μ. 3000W IP67 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
pwr1028,Καλώδιο ρεύματος 3x2.5mm 15m 750W IP54 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
PWR-1029,Καλώδιο ρεύματος 3x2.5mm 10m 750W IP44 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1030,Καλώδιο ρεύματος 5x1.5mm 5000cm 750W IP54 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1031,Καλώδιο ρεύματος 5x1.5mm 1500cm 1500W IP67 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
PWR-1032,Καλώδιο ρεύματος 3x6.0mm 3000cm 2200W IP67 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
PWR-1033,Καλώδιο ρεύματος 3x2.5mm 1000cm 750W IP67 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1034,Καλώδιο ρεύματος 3x1.5mm 30m 1000W IP54 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1035,Καλώδιο ρεύματος 3x1.5mm 20m 1500W IP44 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1036,Καλώδιο ρεύματος 5x2.5mm 50m 1000W IP67 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
pwr1037,Καλώδιο ρεύματος 3x4.0mm 10m 750W IP44 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
PWR-1038,Καλώδιο ρεύματος 3x4.0mm 15m 3000W IP67 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1039,Καλώδιο ρεύματος 5x2.5mm 50 μ. 1kW IP44 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1040,Καλώδιο ρεύματος 5x2.5mm 30 μ. 2200W IP54 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1041,Καλώδιο ρεύματος 3x4.0mm 50 μ. 2200W IP54 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1042,Καλώδιο ρεύματος 5x1.5mm 1500cm 3kW IP54 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
PWR-1043,Καλώδιο ρεύματος 5x2.5mm 3000cm 3kW IP54 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
  PWR-1044,Καλώδιο ρεύματος 3x1.5mm 5m 2200W IP54 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1045,Καλώδιο ρεύματος 3x2.5mm 20 μ. 1000W IP54 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1046,Καλώδιο ρεύματος 3x6.0mm 500cm 1000W IP54 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
pwr1047,Καλώδιο ρεύματος 3x6.0mm 1500cm 750W IP44 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
PWR-1048,Καλώδιο ρεύματος 3x4.0mm 3000cm 750W IP44 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1049,Καλώδιο ρεύματος 5x1.5mm 500cm 2200W IP67 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
pwr1050,Καλώδιο ρεύματος 5x4.0mm 3000cm 1000W IP67 εξωτερικού χώρου,POWER,Elektra,ΤΕΜ
PWR-1051,Καλώδιο ρεύματος 3x6.0mm 2500cm 3000W IP44 εξωτερικού χώρου,POWER,Voltera,ΤΕΜ
