product_code,list_price,currency,updated_at
PWR-1000,"€ 134,20",EUR,2026-08-03
PWR-1001,163.95,EUR,2026-08-21
PWR-1002,"145,17 EUR",EUR,2026-08-03
PWR-1003,"€ 96,20",EUR,2026-08-03
PWR-1004,135.76,EUR,2026-08-21
PWR-1005,"56,23 EUR",EUR,2026-07-14
PWR-1006,"€ 108,27",EUR,2026-08-03
PWR-1007,160.42,EUR,2026-08-21
PWR-1008,"131,88 EUR",EUR,2026-09-01
PWR-1009,"€ 98,22",EUR,2026-07-14
PWR-1010 ,26.95,EUR,2026-09-01
PWR-1011,"174,84 EUR",EUR,2026-09-01
PWR-1012,"€ 49,04",EUR,2026-07-14
PWR-1013,28.99,EUR,2026-08-21
PWR-1014 ,"142,24 EUR",EUR,2026-08-03
PWR-1015,"€ 112,15",EUR,2026-08-21
PWR-1016,123.98,EUR,2026-07-14
PWR-1017,"106,39 EUR",EUR,2026-09-01
PWR-1018,"€ 84,61",EUR,2026-08-03
PWR-1019,74.38,EUR,2026-09-01
PWR-1020,"149,49 EUR",EUR,2026-07-14
PWR-1021,"€ 126,66",EUR,2026-07-14
PWR-1022,122.41,EUR,2026-07-14
PWR-1023,"29,12 EUR",EUR,2026-09-01
PWR-1024,"€ 86,11",EUR,2026-08-21
PWR-1025 ,69.59,EUR,2026-08-21
PWR-1026,"8,42 EUR",EUR,2026-09-01
PWR-1027,"€ 28,42",EUR,2026-07-14
PWR-1028,93.60,EUR,2026-08-21
PWR-1029,"100,01 EUR",EUR,2026-09-01
PWR-1030,"€ 14,57",EUR,2026-08-03
PWR-1031 ,167.18,EUR,2026-09-01
PWR-1032,"107,19 EUR",EUR,2026-07-14
PWR-1033,"€ 126,12",EUR,2026-07-14
PWR-1034,51.31,EUR,2026-08-03
PWR-1035,"80,21 EUR",EUR,2026-08-21
PWR-1036,"€ 103,18",EUR,2026-08-21
PWR-1037,169.19,EUR,2026-09-01
PWR-1038,"65,15 EUR",EUR,2026-08-21
PWR-1039,"€ 54,89",EUR,2026-08-03
PWR-1040,30.24,EUR,2026-07-14
PWR-1041,"104,06 EUR",EUR,2026-09-01
PWR-1042,"€ 66,11",EUR,2026-09-01
PWR-1043 ,66.09,EUR,2026-08-21
PWR-1044,"172,24 EUR",EUR,2026-08-21
PWR-1045,"€ 158,69",EUR,2026-07-14
PWR-1046,59.66,EUR,2026-08-03
PWR-1047,"37,07 EUR",EUR,2026-09-01
PWR-1048 ,"€ 71,56",EUR,2026-09-01
PWR-1049,29.57,EUR,2026-08-21
PWR-1050,"149,43 EUR",EUR,2026-08-03
PWR-1051,"€ 98,84",EUR,2026-08-21
PWR-1052 ,148.18,EUR,2026-08-03
PWR-1053,"127,18 EUR",EUR,2026-07-14
PWR-1054,"€ 67,18",EUR,2026-09-01
PWR-1055,107.12,EUR,2026-09-01
PWR-1056,"26,75 EUR",EUR,2026-09-01
PWR-1057,"€ 147,70",EUR,2026-07-14
DAT-1000,21.21,EUR,2026-07-14
DAT-1001,"52,13 EUR",EUR,2026-08-21
DAT-1002,"€ 58,59",EUR,2026-07-14
DAT-1003,23.68,EUR,2026-08-21
DAT-1004,"69,77 EUR",EUR,2026-09-01
DAT-1005 ,"€ 34,97",EUR,2026-09-01
DAT-1006 ,34.60,EUR,2026-07-14
DAT-1007 ,"63,77 EUR",EUR,2026-08-03
DAT-1008,"€ 63,50",EUR,2026-08-03
DAT-1009,62.88,EUR,2026-08-03
DAT-1010,"45,80 EUR",EUR,2026-09-01
DAT-1011 ,"€ 22,21",EUR,2026-08-21
DAT-1012,59.71,EUR,2026-08-03
DAT-1013,"60,95 EUR",EUR,2026-08-03
DAT-1014,"€ 89,84",EUR,2026-09-01
