sku;qty_available;warehouse
PWR-1000;12;ATH-01
PWR-1001;12;ATH-02
PWR-1002;25;ATH-01
PWR 1004;80;ATH-01
PWR-1005;4;PAT-01
PWR-1006;80;PAT-01
PWR-1007;12;THE-01
PWR-1008;0;ATH-01
PWR 1009;0;THE-01
PWR-1010;12;ATH-02
PWR-1011;0;ATH-02
PWR 1012;80;PAT-01
PWR-1013;80;ATH-02
PWR-1014;12;ATH-01
PWR-1015;0;PAT-01
PWR-1016;25;ATH-01
PWR-1017;25;THE-01
PWR-1018;0;ATH-01
PWR-1019;25;PAT-01
PWR-1020;0;THE-01
PWR 1021;12;PAT-01
PWR-1022;12;ATH-01
PWR-1023;4;ATH-02
PWR-1024;12;ATH-02
PWR 1025;0;THE-01
PWR-1026;0;ATH-02
PWR-1027;4;ATH-01
PWR-1028;150;ATH-02
PWR-1029;25;THE-01
PWR-1030;40;PAT-01
PWR 1031;4;ATH-01
PWR-1032;80;PAT-01
PWR 1033;12;ATH-01
PWR-1034;150;PAT-01
PWR-1035;40;ATH-01
PWR-1036;0;ATH-01
PWR-1037;0;THE-01
PWR-1038;150;ATH-02
PWR-1039;4;PAT-01
PWR 1040;0;ATH-01
PWR 1041;0;ATH-02
PWR 1042;40;PAT-01
PWR 1043;150;PAT-01
PWR 1044;0;ATH-01
PWR-1045;0;THE-01
PWR-1046;0;THE-01
PWR-1047;25;ATH-01
PWR-1048;0;PAT-01
PWR-1049;80;THE-01
PWR 1050;0;PAT-01
PWR-1051;12;ATH-02
PWR-1052;0;THE-01
PWR 1053;4;PAT-01
PWR 1054;4;ATH-02
PWR-1055;80;PAT-01
PWR-1056;12;ATH-02
PWR-1057;150;ATH-01
DAT-1000;12;ATH-01
DAT 1001;12;ATH-02
DAT-1002;0;THE-01
DAT-1004;0;ATH-02
DAT 1005;25;PAT-01
DAT 1006;40;ATH-02
DAT 1007;80;ATH-02
DAT-1008;80;ATH-02
DAT-1009;25;ATH-01
DAT 1010;12;ATH-02
DAT-1011;150;THE-01
DAT-1012;0;ATH-02
DAT-1013;25;PAT-01
DAT-1014;0;ATH-02
DAT-1015;12;ATH-02
DAT-1016;0;ATH-02
DAT-1017;4;ATH-02
DAT 1018;150;THE-01
DAT-1019;0;THE-01
DAT-1020;0;THE-01
DAT-1021;40;ATH-02
DAT-1022;80;THE-01
DAT 1023;150;PAT-01
DAT-1024;12;ATH-01
DAT 1025;0;THE-01
DAT-1026;0;ATH-02
DAT-1027;40;PAT-01
DAT 1028;80;ATH-01
DAT 1029;80;ATH-02
DAT 1030;150;PAT-01
DAT-1031;40;THE-01
DAT-1032;0;ATH-01
DAT 1033;40;THE-01
DAT 1034;150;PAT-01
DAT-1035;0;ATH-02
DAT 1036;12;PAT-01
DAT-1037;40;ATH-02
